year_level,program,mode_of_study,acad_qual_teaching,acad_faculty_knowledge,acad_consultation_avail,acad_grading_fairness,it_support_avail,it_response_time,it_problem_resolution,it_sys_reliability,fac_classrooms,fac_equipment,fac_network_reliability,fac_learning_materials,serv_health_avail,serv_health_quality,serv_front_office_help,serv_admin_efficiency,serv_office_convenience,serv_advising,serv_staff_responsiveness,serv_complaint_handling,serv_career_support,lib_comp_avail,lib_materials,lib_staff_help,lib_comp_condition,lib_spaces,fac_bath_clean,fac_toiletries,fac_water_supply,needs_alignment,recommendation_intent,sentiment_score,target_satisfaction
3rd Year,Data Science,Face-to-face,4,4,5,5,2,3,4,5,5,1,1,5,5,4,4,5,4,5,2,4,1,5,4,5,5,3,5,4,5,4,5,0.8,4
2nd Year,Information Technology,Face-to-face,4,4,3,4,3,5,3,5,4,4,2,1,5,4,4,5,5,5,3,2,5,4,5,5,5,4,5,5,4,5,5,0.0,4
3rd Year,Data Science,Blended,3,5,4,4,3,4,2,4,5,1,2,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,0.0,3
2nd Year,Data Science,Face-to-face,2,4,4,5,5,5,5,5,3,1,1,5,3,5,5,5,5,4,2,5,5,5,5,4,5,4,4,1,5,2,5,0.0,4
3rd Year,Data Science,Face-to-face,5,5,5,4,5,3,4,5,1,5,3,5,3,4,3,4,3,4,5,4,5,4,3,4,5,5,2,1,5,5,5,0.0,5
3rd Year,Data Science,Blended,3,4,5,4,3,3,4,4,4,5,4,5,4,4,4,3,3,4,2,2,3,4,4,4,5,5,3,5,4,2,5,0.8,2
3rd Year,Data Science,Blended,2,4,2,3,3,4,4,4,2,3,3,1,4,3,4,4,3,4,2,3,4,4,4,4,4,1,3,4,4,4,4,0.6301287114573791,2
2nd Year,Data Science,Blended,3,4,5,4,3,4,3,4,3,4,3,4,4,5,4,3,3,4,2,2,3,4,3,4,4,4,3,4,4,2,4,0.6545400262343195,2
3rd Year,Data Science,Blended,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,2,3,4,3,4,4,3,4,4,4,4,2,4,0.5716168431025963,2
3rd Year,Data Science,Blended,5,5,4,3,3,3,5,5,5,5,5,4,4,4,5,4,5,4,2,4,5,4,5,4,4,5,5,5,5,2,5,0.7304242242959538,2
3rd Year,Data Science,Blended,3,4,3,3,3,4,5,5,3,4,4,2,4,3,5,4,4,4,2,4,5,5,5,4,5,2,3,4,5,5,5,0.8,2
2nd Year,Data Science,Blended,3,4,5,4,3,4,3,4,2,4,2,3,4,5,4,3,3,4,2,2,3,4,3,4,3,4,3,4,4,2,4,0.4544439850863074,2
2nd Year,Data Science,Blended,2,4,4,4,3,5,3,5,1,4,1,1,4,4,4,3,4,5,2,4,5,5,3,5,2,3,4,3,5,3,3,0.23298331215843354,2
3rd Year,Data Science,Blended,3,4,5,4,3,3,4,4,4,5,4,5,4,4,4,3,3,4,2,2,3,4,4,4,5,5,3,5,4,3,5,0.8,2
2nd Year,Data Science,Blended,3,4,4,4,3,3,4,4,4,5,4,4,4,5,4,4,3,4,2,2,3,4,4,4,4,5,3,5,4,2,5,0.7860506139347958,2
3rd Year,Data Science,Blended,2,4,3,3,3,4,5,5,2,4,4,2,4,3,5,4,4,4,2,4,5,5,5,4,5,2,3,4,5,5,5,0.8,2
2nd Year,Data Science,Blended,3,4,4,4,3,4,3,5,2,4,2,2,4,5,4,3,5,4,2,4,5,4,3,4,2,4,5,3,5,2,3,0.25645329030558417,2
3rd Year,Data Science,Blended,5,5,4,3,3,3,5,5,5,5,5,4,4,4,5,4,5,4,2,4,5,4,5,4,4,5,5,5,5,3,5,0.7456069984217036,2
3rd Year,Data Science,Blended,5,5,4,3,4,3,5,5,5,5,5,4,4,4,5,3,5,4,3,4,5,4,5,4,4,5,5,5,5,4,5,0.7785175961393014,2
2nd Year,Data Science,Blended,2,4,4,3,3,4,3,4,1,3,1,1,4,4,4,3,4,4,2,3,4,4,2,4,2,3,4,3,4,2,2,0.0,2
2nd Year,Data Science,Blended,2,4,3,4,3,5,4,5,1,4,2,1,4,3,4,4,4,5,2,4,5,5,4,5,3,2,3,3,5,4,4,0.4113875507308893,2
2nd Year,Data Science,Blended,3,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4,3,3,2,3,3,2,3,4,3,3,4,4,4,2,3,0.4146901982034297,2
3rd Year,Data Science,Blended,4,4,4,3,4,3,5,5,4,4,4,4,4,3,5,3,4,4,3,4,5,5,5,4,5,4,4,4,5,5,5,0.8,2
2nd Year,Data Science,Blended,2,4,3,3,3,3,3,3,1,2,1,1,4,4,4,3,3,3,2,2,3,2,2,4,2,2,4,3,4,2,2,0.0,2
2nd Year,Data Science,Blended,2,4,2,3,3,3,4,2,2,2,2,1,4,3,4,4,2,2,2,2,2,1,2,4,2,1,3,4,4,2,2,0.13641929894983323,2
2nd Year,Data Science,Blended,3,4,5,4,3,4,3,4,1,4,1,1,4,5,4,3,4,4,2,3,4,4,3,4,2,4,4,3,4,2,3,0.05204127438822362,2
2nd Year,Data Science,Blended,2,4,3,4,3,5,4,5,1,4,3,1,4,3,4,4,4,5,2,4,5,5,4,5,4,1,3,3,5,4,4,0.7591084298026667,2
2nd Year,Data Science,Blended,2,4,4,4,3,3,4,3,3,4,3,4,4,4,4,4,2,3,2,2,2,3,3,4,4,4,3,4,4,2,4,0.7725056264596475,2
2nd Year,Data Science,Blended,2,4,2,3,3,3,3,2,1,2,1,1,4,4,4,3,2,2,2,2,2,1,2,4,2,1,4,3,4,2,2,0.0,2
3rd Year,Information Technology,Blended,3,4,3,3,3,3,2,3,4,1,2,5,4,4,4,4,4,4,3,4,4,5,4,5,5,5,2,4,4,4,4,0.0,3
3rd Year,Information Technology,Blended,4,4,3,3,4,4,2,2,2,1,5,2,4,4,4,3,4,5,4,4,5,4,2,5,4,3,4,1,4,5,4,0.02909641755378803,3
3rd Year,Information Technology,Blended,5,4,3,3,4,4,4,3,3,1,3,4,3,4,4,4,3,5,4,3,5,4,2,5,4,4,4,4,4,5,4,0.1136741956833974,3
3rd Year,Information Technology,Face-to-face,3,4,4,4,3,4,3,4,4,1,3,5,4,4,4,3,5,5,3,4,5,5,5,5,5,5,3,4,5,5,4,0.3052911925335302,3
3rd Year,Information Technology,Face-to-face,3,4,4,3,3,3,3,3,3,2,3,3,4,4,3,3,3,3,2,3,3,4,3,4,3,3,3,2,3,3,3,0.04780774890839534,3
3rd Year,Information Technology,Face-to-face,3,4,4,4,3,4,4,3,4,3,5,3,4,5,4,4,4,5,2,4,5,5,5,5,3,5,4,1,4,5,4,0.136319152080418,3
3rd Year,Information Technology,Blended,4,4,3,3,3,3,2,2,2,1,4,2,4,4,3,3,4,4,4,3,4,4,2,4,4,3,3,2,3,4,3,0.0,3
3rd Year,Information Technology,Blended,3,4,3,3,3,3,2,3,2,1,3,2,4,4,3,3,3,3,3,3,3,4,2,4,3,3,3,2,3,3,3,0.0,3
3rd Year,Information Technology,Face-to-face,5,4,3,3,3,4,2,2,2,1,5,2,4,4,4,3,5,5,4,4,5,4,2,5,5,3,3,2,4,5,4,0.2557539691297762,3
3rd Year,Information Technology,Face-to-face,5,4,3,3,3,4,3,3,2,1,5,3,4,4,4,3,5,5,3,4,5,4,3,5,5,4,3,2,4,5,4,0.4396005984243656,3
2nd Year,Data Science,Face-to-face,3,5,4,4,3,4,3,3,5,3,4,3,4,4,4,4,4,5,2,4,5,5,5,5,3,5,4,1,4,5,4,0.12334187985501668,3
3rd Year,Information Technology,Face-to-face,5,4,4,4,4,4,5,4,3,1,3,5,3,4,5,4,3,5,3,3,5,4,2,5,4,5,4,4,5,5,4,0.16401381491272438,3
2nd Year,Data Science,Face-to-face,3,3,3,3,4,3,4,2,3,4,3,4,4,4,4,4,4,3,2,3,3,5,4,5,4,5,3,1,4,3,3,0.05458897276930759,3
3rd Year,Information Technology,Face-to-face,5,4,3,3,3,4,3,3,2,1,5,3,4,4,4,3,5,5,3,4,5,4,3,5,5,4,3,2,4,5,4,0.4916667979680671,3
3rd Year,Information Technology,Blended,3,3,3,3,4,3,4,2,3,3,3,5,3,4,5,4,3,2,3,3,3,4,3,5,4,5,2,2,4,3,3,0.0019957815275267743,3
2nd Year,Data Science,Face-to-face,3,4,4,3,4,3,4,2,4,4,4,3,4,4,4,4,4,4,2,3,4,5,4,5,3,5,4,1,4,4,3,0.09613827179723138,3
3rd Year,Information Technology,Face-to-face,4,4,4,4,3,4,4,4,3,1,4,5,4,4,4,3,5,5,3,4,5,5,5,5,5,5,3,3,5,5,4,0.6071796271791907,3
3rd Year,Information Technology,Face-to-face,3,5,4,4,3,4,3,3,5,3,4,3,4,4,4,4,4,5,2,4,5,5,5,5,3,5,4,2,4,5,4,0.08540793985318228,3
3rd Year,Information Technology,Blended,5,4,3,3,3,4,3,3,2,1,5,3,4,4,4,3,5,5,3,4,5,4,3,5,5,4,3,2,4,5,4,0.48799732622609676,3
3rd Year,Information Technology,Face-to-face,5,4,4,4,4,4,5,4,3,1,3,5,3,4,5,4,3,5,3,3,5,4,2,5,4,5,4,4,5,5,4,0.23759343457808912,3
3rd Year,Information Technology,Face-to-face,4,3,3,3,3,4,4,3,3,1,4,5,4,4,5,3,4,4,3,3,4,5,4,5,5,5,2,2,4,4,3,0.6613082771937824,3
3rd Year,Information Technology,Blended,3,3,3,3,3,3,4,2,3,2,3,5,4,4,5,3,4,3,3,3,3,5,4,5,5,5,2,2,4,3,3,0.31284848605859267,3
3rd Year,Information Technology,Blended,3,3,3,3,4,3,4,2,3,4,3,4,4,4,4,4,4,2,2,3,3,5,4,5,4,5,2,1,4,3,3,0.02277951097350779,3
3rd Year,Information Technology,Blended,5,4,5,4,5,3,4,5,1,4,3,4,3,4,3,4,3,4,4,3,5,4,3,4,5,5,2,1,5,4,5,0.01249686447725036,5
3rd Year,Data Science,Blended,5,5,4,4,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,3,5,5,4,5,5,5,0.3673991135726937,5
2nd Year,Information Technology,Blended,5,3,5,4,4,3,4,5,4,2,3,3,3,3,4,3,3,5,4,2,5,5,4,5,5,4,2,5,5,3,5,0.35025331251883973,5
2nd Year,Data Science,Blended,3,5,4,4,3,5,4,4,3,1,3,4,4,4,4,4,4,3,2,3,5,5,5,4,4,5,3,5,5,5,4,0.1071416477597574,5
3rd Year,Data Science,Blended,3,4,3,4,3,4,3,2,5,3,3,2,3,4,4,3,5,5,5,4,5,3,5,5,4,5,5,5,4,4,4,0.45562193106419696,5
2nd Year,Data Science,Blended,2,5,5,3,4,5,3,4,4,4,4,4,4,4,4,5,3,5,2,2,5,5,5,5,4,4,4,5,5,5,4,0.045129263221680205,5
3rd Year,Data Science,Blended,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.5775990178134598,5
3rd Year,Information Technology,Blended,5,4,5,4,5,3,4,5,3,2,3,3,3,4,3,4,3,4,4,2,5,4,3,4,5,5,2,4,5,3,5,0.11731908862696877,5
2nd Year,Data Science,Face-to-face,3,4,4,4,5,4,3,5,2,4,1,5,4,5,5,5,4,4,5,4,4,5,4,4,3,5,3,2,5,5,5,0.69945486391129,5
